1142,1137,"pneumococcal vaccine","fever","60 very common","","","","","",""
608,3494,"fluorouracil","thrombocytopenia","50 common","","","","","",""
690,1915,"","irritability","40 poss","","","","","",""
690,3416,"","syncope","40 poss","","","","","",""
690,2091,"","lymphadenopathy","40 poss","","","","","",""
690,1852,"","inj site pain","40 poss","","","","","",""
690,1137,"","fever","40 poss","","","","","",""
690,1123,"","febrile convulsion","40 poss","","","","","",""
690,235,"","apnoea","40 poss","","","","","",""
690,899,"","drowsiness","40 poss","","","","","",""
690,277,"","atopic dermatitis","40 poss","","","","","",""
690,240,"","appetite loss","40 poss","","","","","",""
690,149,"","allergic reaction","40 poss","","","","","",""
690,2963,"","rash","40 poss","","","","","",""
1,1959,"abacavir","lab abnormalities","40 poss","","","","","",""
1,22,"abacavir","abnormal dreams","40 poss","","","","","",""
1,2963,"abacavir","rash","40 poss","","","","","",""
1,2527,"abacavir","osteonecrosis","40 poss","","","","","",""
1,2494,"abacavir","opportunistic infection","40 poss","","","","","",""
1,2110,"abacavir","malaise","40 poss","","","","","",""
1,1996,"abacavir","lethargy","40 poss","","","","","",""
1,1968,"abacavir","lactic acidosis","40 poss","","","","","",""
1,1862,"abacavir","insomnia","40 poss","","","","","",""
1,1747,"abacavir","incr risk of MI","40 poss","","","","","",""
1,1567,"abacavir","immune reconstitution syndrome","40 poss","","","","","",""
1,1467,"abacavir","hypersensitivity","40 poss","","","","","",""
1,1452,"abacavir","hyperlactataemia","40 poss","","","","","",""
1,229,"abacavir","anxiety","40 poss","","","","","",""
1,1980,"abacavir","late onset","40 poss","","","","","",""
1,212,"abacavir","anorexia","40 poss","","","","","",""
1,1375,"abacavir","hepatomegaly with steatosis","40 poss","","","","","",""
1,285,"abacavir","atypical autoimmune disorder","40 poss","","","","","",""
1,661,"abacavir","cough","40 poss","","","","","",""
1,829,"abacavir","depression","40 poss","","","","","",""
1,890,"abacavir","dizziness","40 poss","","","","","",""
1,1111,"abacavir","fat redistribution","40 poss","","","","","",""
1,1116,"abacavir","fatigue","40 poss","","","","","",""
1,1137,"abacavir","fever","40 poss","","","","","",""
1,1234,"abacavir","GI upset","40 poss","","","","","",""
1,1316,"abacavir","headache","40 poss","","","","","",""
3,3494,"abatacept","thrombocytopenia","40 poss","","","","","",""
3,2113,"abatacept","malignancy","40 poss","","","","","",""
3,2570,"abatacept","pain in extremity","40 poss","","","","","",""
3,2583,"abatacept","palpitation","40 poss","","","","","",""
3,2606,"abatacept","paraesthesia","40 poss","","","","","",""
3,2963,"abatacept","rash","40 poss","","","","","",""
3,3052,"abatacept","respiratory tract infection","40 poss","","","","","",""
3,3695,"abatacept","UTI","40 poss","","","","","",""
3,3434,"abatacept","tachy/ bradycardia","40 poss","","","","","",""
