1,"1st deg A-V block","1st deg A-V block"
2,"2nd deg A-V block","2nd deg A-V block"
3,"2nd primary tumour","2nd primary tumour"
4,"3rd deg A-V block","3rd deg A-V block"
5,"Ab development","Ab development"
6,"Ab formation","Ab formation"
7,"abcess","abcess"
8,"abdominal bloating","abdominal bloating"
9,"abdominal cramp","abdominal cramp"
10,"abdominal discomfort","abdominal discomfort"
11,"abdominal distension","abdominal distension"
12,"abdominal pain","abdominal pain"
13,"abducens nerve paresis","abducens nerve paresis"
14,"abnormal accommodation","accommodation"
15,"abnormal behaviour","behaviour"
16,"abnormal bleeding","bleeding"
17,"abnormal breath","breath"
18,"abnormal BUN","BUN"
19,"abnormal chest sound","chest sound"
20,"abnormal coordination","coordination"
21,"abnormal cytogenetics","cytogenetics"
22,"abnormal dreams","dreams"
23,"abnormal ECG","ECG"
24,"abnormal ejaculation","ejaculation"
25,"abnormal ERG","ERG"
26,"abnormal gait","gait"
27,"abnormal glucose tolerance","glucose tolerance"
28,"abnormal hair growth","hair growth"
29,"abnormal healing","healing"
30,"abnormal hepatic function","hepatic function"
31,"abnormal involuntary movements","involuntary movements"
32,"abnormal labour","labour"
33,"abnormal labour affecting fetus","labour affecting fetus"
34,"abnormal LFT","LFT"
35,"abnormal LFTs","LFTs"
36,"abnormal lipids","lipids"
37,"abnormal liver transaminase","liver transaminase"
38,"abnormal Schilling's test","Schilling's test"
39,"abnormal spermatogenesis","spermatogenesis"
40,"abnormal taste","taste"
41,"abnormal TFTs","TFTs"
42,"abnormal tongue sensation","tongue sensation"
43,"abnormal urinalysis","urinalysis"
44,"Abnormal uterine bleeding","uterine bleeding"
45,"Abnormal uterine contraction","uterine contraction"
46,"abnormal vision","vision"
47,"abortion","abortion"
48,"abrasion","abrasion"
49,"abrupt withdrawal symptoms","abrupt withdrawal"
50,"abscess formation","abscess formation"
51,"abuse","abuse"
52,"accelerated tumour progression","accelerated tumour progression"
53,"accident","accident"
54,"accidental injury","accidental injury"
55,"accommodation","accommodation"
56,"accommodation difficulty","accommodation difficulty"
57,"accomodation ","accomodation "
58,"ACE inhibitor syndrome","ACE inhibitor"
59,"aching legs","aching legs"
60,"achrochordon","achrochordon"
61,"acidosis","acidosis"
62,"acne","acne"
63,"acne exacerbation","acne"
64,"acneform dermatitis","acneform dermatitis"
65,"acneiform eruption","acneiform eruption"
66,"acne-like rash","acne-like rash"
67,"acquired haemophilia","acquired haemophilia"
68,"acquired lipodystrophy","acquired lipodystrophy"
69,"ACTH suppression","ACTH suppression"
105,"admin reaction","admin"
106,"adnexal torsion","adnexal torsion"
107,"adrenal dysfunction","adrenal"
108,"adrenal suppression","adrenal suppression"
109,"adrenal/ androgen insufficiency","adrenal/ androgen insufficiency"
110,"adult respiratory distress syndrome","adult respiratory distress"
111,"adynamic bone disease","adynamic bone"
112,"AF","AF"
113,"AF exacerbation","AF"
114,"affect lability","affect lability"
115,"ageusia","ageusia"
116,"aggravated allergy","aggravated allergy"
117,"aggravated anaemia","aggravated anaemia"
118,"aggravated depression","aggravated depression"
119,"aggravated diabetes","aggravated diabetes"
120,"aggravated psoriasis","aggravated psoriasis"
121,"aggravation","aggravation"
122,"aggression","aggression"
123,"aggression/ violence","aggression/ violence"
124,"aggressive reaction","aggressive"
125,"aggressiveness","aggressiveness"
126,"agitation","agitation"
127,"agitation/ irritability","agitation/ irritability"
128,"agranulocytosis","agranulocytosis"
129,"air embolism","air embolism"
130,"airway complication","airway complication"
131,"airway inflammation","airway inflammation"
132,"airway obstruction","airway obstruction"
133,"akathisia","akathisia"
134,"Al encephalopathy","Al encephalopathy"
135,"albuminuria","albuminuria"
136,"alcohol intolerance","alcohol intolerance"
137,"aldosterone suppression","aldosterone suppression"
138,"alkaline phosphatase","alkaline phosphatase"
139,"Alkalosis","Alkalosis"
140,"allergic","allergic"
141,"allergic alveolitis","allergic alveolitis"
142,"allergic bronchospasm","allergic bronchospasm"
143,"allergic conjunctivitis","allergic conjunctivitis"
144,"allergic contact dermatitis","allergic contact dermatitis"
145,"allergic contact dermatitis of fingertips","allergic contact dermatitis fingertips"
146,"allergic dermatitis","allergic dermatitis"
147,"allergic event","allergic"
148,"allergic rash","allergic rash"
149,"allergic reaction","allergic"
150,"allergic rhinitis","allergic rhinitis"
151,"allergic skin reaction","allergic skin"
152,"allergy","allergy"
153,"allergy aggravation","allergy aggravation"
154,"alopecia","alopecia"
155,"altered appetite","appetite"
156,"altered cognitive function","cognitive function"
157,"altered ECG","ECG"
158,"altered EEG","EEG"
159,"altered fetal heart rate","fetal heart"
160,"altered heart rate","heart"
161,"altered immune response","immune response"
162,"altered LFTs","LFTs"
163,"altered libido","libido"
164,"altered mental state","mental state"
165,"altered metabolism","metabolism"
166,"altered mood","mood"
167,"altered renal function","renal function"
168,"altered smell","smell"
169,"altered sperm quality","sperm quality"
170,"altered spermatogenesis","spermatogenesis"
171,"altered taste","taste"
172,"altered vaginal bleeding pattern","vaginal bleeding pattern"
173,"altered weight","weight"
174,"alveolar osteitis","alveolar osteitis"
175,"amblyopia","amblyopia"
176,"Amenorrhea","Amenorrhea"
177,"amenorrhoea","amenorrhoea"
178,"AML","AML"
179,"amnesia","amnesia"
